CTYNAME,year,drugOverdose,population,drugOverdoseRate,GrowthRate,Naloxone,NaloxoneRate,suicides,suicideRate
Adams,2017,181,27706,6.532880964412041,-2.912,,,,
Allen,2017,632,101603,6.220288771000856,-4.4707,,,,
Ashland,2017,113,53040,2.130467571644042,-0.527,,,,
Ashtabula,2017,588,96549,6.090171829848057,-4.7868,,,,
Athens,2017,175,64943,2.694670711239086,-0.3529,,,,
Auglaize,2017,175,45496,3.8464919992966418,-0.8759,,,,
Belmont,2017,154,65952,2.3350315380883067,-6.2289,,,,
Brown,2017,205,43156,4.750208545741033,-3.8049,,,,
Butler,2017,3065,385402,7.95273506624252,4.4161,,,,
Carroll,2017,56,26578,2.1070057942659344,-7.8624,,,,
Champaign,2017,231,39085,5.910195727261097,-2.4777,,,,
Clark,2017,1369,133193,10.278317929620924,-3.6746,,,,
Clermont,2017,1141,208232,5.479465211879058,5.3784,,,,
Clinton,2017,299,41734,7.164422293573585,-0.4485,,,,
Columbiana,2017,341,100703,3.386195048806888,-6.6614,,,,
Coshocton,2017,117,36608,3.1960227272727275,-0.8934,,,,
Crawford,2017,104,41514,2.5051789757672114,-5.1195,,,,
Cuyahoga,2017,6533,1221780,5.3471165021525975,-4.4058,,,,
Darke,2017,164,50741,3.2321002739402065,-4.1954,,,,
Defiance,2017,116,38083,3.0459785205997427,-2.5562,,,,
Delaware,2017,293,217349,1.348062332929988,24.1292,,,,
Erie,2017,449,73772,6.086320013013068,-4.1648,,,,
Fairfield,2017,520,160758,3.2346757237586936,9.7946,,,,
Fayette,2017,427,28269,15.104885209947293,-2.5677,,,,
Franklin,2017,4620,1334870,3.4610111846097373,14.4632,,,,
Fulton,2017,84,41844,2.0074562661313453,-1.8415,,,,
Gallia,2017,184,29804,6.173667964031674,-4.0808,,,,
Geauga,2017,188,93057,2.02026714809203,-0.3555,,,,
Greene,2017,1082,171919,6.2936615499159485,6.3934,,,,
Guernsey,2017,121,38603,3.134471414138797,-3.865,,,,
Hamilton,2017,3997,821529,4.865318205443752,2.3995,,,,
Hancock,2017,204,75509,2.7016647022209272,1.0979,,,,
Hardin,2017,118,31259,3.7749128251063695,-2.7018,,,,
Harrison,2017,31,14786,2.096577843906398,-6.5656,,,,
Henry,2017,51,26836,1.9004322551796096,-4.7389,,,,
Highland,2017,351,43379,8.091472832476542,-0.5548,,,,
Hocking,2017,109,28078,3.882042880547048,-4.7493,,,,
Holmes,2017,37,44042,0.8401071704282276,3.6941,,,,
Huron,2017,429,58070,7.387635612192182,-2.5017,,,,
Jackson,2017,165,32507,5.075829821269265,-2.2287,,,,
Jefferson,2017,307,64427,4.7650829621121575,-7.5255,,,,
Knox,2017,208,63166,3.292910743121299,3.3983,,,,
Lake,2017,957,230243,4.156478155687687,0.0996,,,,
Lawrence,2017,13,58855,0.2208818282219012,-5.7174,,,,
Licking,2017,495,179254,2.761444653954724,7.5277,,,,
Logan,2017,200,46352,4.31480842250604,1.3314,,,,
Lorain,2017,1181,311395,3.792610671333836,3.2895,,,,
Lucas,2017,2130,425820,5.00211356911371,-3.5371,,,,
Madison,2017,214,45415,4.712099526588132,4.5609,,,,
Mahoning,2017,1207,227617,5.302767367990968,-4.5155,,,,
Marion,2017,405,64425,6.286379511059371,-3.0591,,,,
Medina,2017,534,181282,2.9456868304630355,5.0855,,,,
Meigs,2017,125,22593,5.532687115478246,-4.7954,,,,
Mercer,2017,129,41612,3.100067288282226,2.0202,,,,
Miami,2017,630,108877,5.786346060233107,6.2349,,,,
Monroe,2017,8,13388,0.5975500448162533,-8.3579,,,,
Montgomery,2017,4889,531861,9.192251358907685,-0.6975,,,,
Morgan,2017,46,14362,3.202896532516363,-4.4699,,,,
Morrow,2017,122,35758,3.4118239275127245,2.7824,,,,
Muskingum,2017,335,86383,3.878077862542398,0.196,,,,
Noble,2017,38,14578,2.6066675812868705,-0.5593,,,,
Ottawa,2017,123,40037,3.072158253615406,-3.1964,,,,
Paulding,2017,30,18532,1.6188214979494928,-5.2411,,,,
Perry,2017,89,36324,2.4501706860477923,0.7964,,,,
Pickaway,2017,195,59217,3.292973301585693,6.2379,,,,
Pike,2017,162,27452,5.901209383651464,-4.0542,,,,
Portage,2017,522,162394,3.214404473071665,0.6246,,,,
Preble,2017,287,40624,7.064789287120914,-3.6661,,,,
Putnam,2017,70,33979,2.060095941610995,-1.4416,,,,
Richland,2017,764,121488,6.288686948505203,-2.1536,,,,
Ross,2017,528,76230,6.926406926406926,-2.3919,,,,
Sandusky,2017,205,58074,3.5299789923201432,-4.6169,,,,
Scioto,2017,546,74982,7.281747619428662,-5.8772,,,,
Seneca,2017,307,55146,5.567040220505567,-2.5999,,,,
Shelby,2017,262,48526,5.399167456621193,-1.6677,,,,
Stark,2017,1238,369322,3.352088421485858,-1.6117,,,,
Summit,2017,2778,540333,5.141273992149285,-0.2422,,,,
Trumbull,2017,1272,196844,6.461969884781857,-6.1933,,,,
Tuscarawas,2017,300,91803,3.2678670631678703,-0.7996,,,,
Union,2017,125,61400,2.035830618892508,17.0326,,,,
Van Wert,2017,129,28319,4.555245594830326,-1.2518,,,,
Vinton,2017,47,12965,3.625144620131122,-3.2824,,,,
Warren,2017,1076,239916,4.484903049400623,12.4102,,,,
Washington,2017,156,59511,2.6213641175580986,-3.5681,,,,
Wayne,2017,425,115550,3.678061445261792,1.0105,,,,
Williams,2017,89,36598,2.431826875785562,-2.4366,,,,
Wood,2017,294,131569,2.234568933411366,4.4613,,,,
Wyandot,2017,61,21480,2.839851024208566,-4.9053,,,,
Adams,2018,127,27706,4.583844654587454,-2.912,,,,
Allen,2018,352,101603,3.464464631949844,-4.4707,,,,
Ashland,2018,80,53040,1.5082956259426847,-0.527,,,,
Ashtabula,2018,415,96549,4.298335560181877,-4.7868,,,,
Athens,2018,149,64943,2.294319634140708,-0.3529,,,,
Auglaize,2018,145,45496,3.1870933708457887,-0.8759,,,,
Belmont,2018,84,65952,1.2736535662299855,-6.2289,,,,
Brown,2018,159,43156,3.684308091574752,-3.8049,,,,
Butler,2018,1861,385402,4.828724293075801,4.4161,,,,
Carroll,2018,50,26578,1.881255173451727,-7.8624,,,,
Champaign,2018,126,39085,3.2237431239605985,-2.4777,,,,
Clark,2018,737,133193,5.533323823324048,-3.6746,,,,
Clermont,2018,819,208232,3.9331130661953977,5.3784,,,,
Clinton,2018,211,41734,5.055829779077012,-0.4485,,,,
Columbiana,2018,372,100703,3.694030962334786,-6.6614,,,,
Coshocton,2018,124,36608,3.387237762237762,-0.8934,,,,
Crawford,2018,90,41514,2.1679433444139327,-5.1195,,,,
Cuyahoga,2018,4525,1221780,3.703612761708327,-4.4058,,,,
Darke,2018,130,50741,2.562030704952602,-4.1954,,,,
Defiance,2018,96,38083,2.520809810151511,-2.5562,,,,
Delaware,2018,291,217349,1.3388605422615243,24.1292,,,,
Erie,2018,274,73772,3.714146288564767,-4.1648,,,,
Fairfield,2018,448,160758,2.7867975466228745,9.7946,,,,
Fayette,2018,171,28269,6.0490289716650745,-2.5677,,,,
Franklin,2018,4004,1334870,2.999543026661772,14.4632,,,,
Fulton,2018,109,41844,2.6049134881942453,-1.8415,,,,
Gallia,2018,136,29804,4.5631458864581935,-4.0808,,,,
Geauga,2018,130,93057,1.3969932407019354,-0.3555,,,,
Greene,2018,598,171919,3.4783822614138056,6.3934,,,,
Guernsey,2018,157,38603,4.067041421651167,-3.865,,,,
Hamilton,2018,3296,821529,4.01203122470418,2.3995,,,,
Hancock,2018,195,75509,2.582473612417063,1.0979,,,,
Hardin,2018,77,31259,2.463290572315173,-2.7018,,,,
